optimizer,optimizer_key,learning_rate,best_val_auc,val_auc_final,val_f1,val_recall,min_val_loss,epochs_run,train_seconds
SGD,sgd,0.0003,0.823344349861145,0.8236109091496615,0.4689655172413793,0.3411371237458194,0.4494789242744446,100,34.65
SGD,sgd,0.001,0.8383257985115051,0.8384712326111191,0.5928705440900562,0.5284280936454849,0.4257008135318756,100,34.37
SGD,sgd,0.003,0.8449077010154724,0.8447239590906889,0.6185185185185185,0.5585284280936454,0.41772136092185974,100,37.5
SGD,sgd,0.01,0.8486420512199402,0.8483713828704377,0.6305970149253731,0.5652173913043478,0.4134083092212677,100,34.68
SGD,sgd,0.03,0.8495649099349976,0.8493488762864945,0.6150943396226415,0.5451505016722408,0.41273751854896545,88,32.55
SGD,sgd,0.1,0.8501143455505371,0.8500718982760571,0.5972495088408645,0.5083612040133779,0.4133608639240265,51,17.13
Momentum (0.9),momentum,0.0003,0.8449501395225525,0.8447199198616967,0.6185185185185185,0.5585284280936454,0.41770705580711365,100,36.79
Momentum (0.9),momentum,0.001,0.8485410213470459,0.848448128221285,0.6296296296296297,0.568561872909699,0.41333577036857605,100,34.37
Momentum (0.9),momentum,0.003,0.8490580320358276,0.84886820803645,0.6261510128913443,0.568561872909699,0.4131150543689728,52,17.97
Momentum (0.9),momentum,0.01,0.8499526977539062,0.8502334674357358,0.6243194192377496,0.5752508361204013,0.41222473978996277,47,19.25
Momentum (0.9),momentum,0.03,0.849526584148407,0.8495225631331492,0.6133828996282528,0.5518394648829431,0.4117330312728882,27,10.45
Momentum (0.9),momentum,0.1,0.8408422470092773,0.8412118494821709,0.5322245322245323,0.4280936454849498,0.4390343725681305,19,7.58
Nesterov (0.9),nesterov,0.0003,0.8449905514717102,0.8447158806327048,0.6185185185185185,0.5585284280936454,0.4177173674106598,100,35.4
Nesterov (0.9),nesterov,0.001,0.8485531210899353,0.8484036967023734,0.6296296296296297,0.568561872909699,0.4133189618587494,100,34.17
Nesterov (0.9),nesterov,0.003,0.8495144844055176,0.8494337000953258,0.6236162361623616,0.5652173913043478,0.4125917851924896,68,23.27
Nesterov (0.9),nesterov,0.01,0.8498153686523438,0.8496195046289565,0.6106032906764168,0.5585284280936454,0.4123329222202301,56,19.25
Nesterov (0.9),nesterov,0.03,0.8501930236816406,0.8502051928327922,0.5988483685220729,0.5217391304347826,0.41216596961021423,33,11.75
Nesterov (0.9),nesterov,0.1,0.8415006399154663,0.8412744575315463,0.5148936170212766,0.40468227424749165,0.4329725503921509,17,7.22
AdaGrad,adagrad,0.0003,0.8035480380058289,0.803346097296948,0.4423963133640553,0.3210702341137124,0.48891976475715637,100,35.12
AdaGrad,adagrad,0.001,0.8314772844314575,0.8314389349360993,0.5902912621359223,0.5083612040133779,0.4354134798049927,100,42.07
AdaGrad,adagrad,0.003,0.8428618907928467,0.8428295606934548,0.6133828996282528,0.5518394648829431,0.42033031582832336,100,52.43
AdaGrad,adagrad,0.01,0.8485410213470459,0.8483511867254779,0.6179775280898876,0.5518394648829431,0.4137275218963623,100,41.32
AdaGrad,adagrad,0.03,0.8485552072525024,0.848347147496486,0.6219739292364991,0.5585284280936454,0.41402265429496765,56,18.58
AdaGrad,adagrad,0.1,0.8506232500076294,0.8506939395408205,0.6083650190114068,0.5351170568561873,0.41120901703834534,41,14.34
RMSProp,rmsprop,0.0003,0.8463982343673706,0.846319454542517,0.6133828996282528,0.5518394648829431,0.4172704219818115,100,32.98
RMSProp,rmsprop,0.001,0.8479876518249512,0.8477089493157546,0.6049149338374291,0.5351170568561873,0.41583770513534546,74,26.22
RMSProp,rmsprop,0.003,0.8453662395477295,0.8450794112419822,0.564,0.47157190635451507,0.42052584886550903,29,10.4
RMSProp,rmsprop,0.01,0.8441302180290222,0.8441867416347569,0.551440329218107,0.44816053511705684,0.42832040786743164,26,9.04
RMSProp,rmsprop,0.03,0.8383238315582275,0.8385964487098703,0.4956896551724138,0.38461538461538464,0.4416768252849579,15,6.7
RMSProp,rmsprop,0.1,0.8355548977851868,0.8362617743525116,0.4945770065075922,0.38127090301003347,0.45527660846710205,16,6.87
Adam,adam,0.0003,0.8472020626068115,0.846994005784176,0.6245353159851301,0.5618729096989966,0.41503292322158813,58,21.29
Adam,adam,0.001,0.8505545854568481,0.8505343899956376,0.6055045871559633,0.5518394648829431,0.4114696681499481,75,29.01
Adam,adam,0.003,0.8517076969146729,0.8514694715072786,0.6003683241252302,0.5451505016722408,0.4107581079006195,42,15.49
Adam,adam,0.01,0.8436092138290405,0.8434717981031781,0.6052631578947368,0.5384615384615384,0.4177002012729645,19,7.34
Adam,adam,0.03,0.8404201865196228,0.8403373564054093,0.5483870967741935,0.45484949832775917,0.43308520317077637,15,6.03
Adam,adam,0.1,0.8379724025726318,0.8374977784240544,0.4329411764705882,0.3076923076923077,0.4354942739009857,48,16.55
Nadam,nadam,0.0003,0.8471939563751221,0.8469495742652642,0.6245353159851301,0.5618729096989966,0.4149763584136963,59,20.31
Nadam,nadam,0.001,0.8489490151405334,0.8488358942045143,0.6139705882352942,0.5585284280936454,0.41327717900276184,67,23.17
Nadam,nadam,0.003,0.851467490196228,0.8513079023475999,0.5951035781544256,0.5284280936454849,0.41083618998527527,44,16.07
Nadam,nadam,0.01,0.8475534319877625,0.8473171441035335,0.5675146771037182,0.48494983277591974,0.41733092069625854,33,13.45
Nadam,nadam,0.03,0.8408241271972656,0.8408988092352931,0.5668662674650699,0.47491638795986624,0.4299341142177582,21,8.14
Nadam,nadam,0.1,0.8444634675979614,0.8441786631767728,0.4116222760290557,0.2842809364548495,0.4335086941719055,66,22.43
